Company,Product,TypeName,Screen Size (inches),Resolution,IPS Panel,Retina Display,Full HD,CPU company,CPU series,CPU power Rating,CPU frequency(GHz),RAM (GB),SSD (GB),Flash Storage (GB),HDD (GB),"SSHD (Hybrid, GB)",GPU company,GPU series,Operating System,Weight,Price (INR)
HP,250 G6,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,500.0,0.0,Intel,HD Graphics 520,Windows 10,1.86,31567
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,0,0,0,Intel,i7,7200U,2.8,16,256.0,0.0,0.0,0.0,AMD,Radeon Pro 555,Mac OS (New),1.83,223257
Dell,Inspiron 3567,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,256.0,0.0,0.0,0.0,AMD,Radeon R5 M430,Windows 10,2.2,45649
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,0,0,0,Intel,M,6Y75,1.2,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 615,Mac OS (New),0.92,115510
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,0,0,0,Intel,i5,7200U,2.3,8,256.0,0.0,0.0,0.0,Intel,Iris Plus Graphics 640,Mac OS (New),1.37,138947
Dell,Inspiron 3567,Notebook,15.6,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,256.0,0.0,0.0,0.0,AMD,Radeon R5 M430,Windows 10,2.2,68168
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,0,0,0,Intel,i7,7200U,2.9,16,512.0,0.0,0.0,0.0,AMD,Radeon Pro 560,Mac OS (New),1.83,261507
Lenovo,IdeaPad 320 15IKB,Notebook,15.6,1920x1080,0,0,0,Intel,i3,7100U,2.4,8,0.0,0.0,1000.0,0.0,Nvidia,GeForce 940MX,Windows 10,2.2,45658
Dell,XPS 13,Ultrabook,13.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,128.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.22,89578
Asus,Vivobook E200HA,Netbook,11.6,1366x768,0,0,0,Intel,Atom_x5,Z8350,1.44,2,0.0,0.0,0.0,0.0,Intel,HD Graphics 400,Windows 10,0.98,17559
Lenovo,Legion Y520 15IKBN,Gaming,15.6,1920x1080,0,0,0,Intel,i5,7300HQ,2.5,8,128.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050,Windows 10,2.5,91408
HP,255 G6,Notebook,15.6,1366x768,0,0,0,AMD,E,9000U,1.5,4,0.0,0.0,500.0,0.0,AMD,Radeon R2,Windows 10,1.86,23607
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.62,74938
HP,15 BS101nv,Ultrabook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.91,60298
Dell,Inspiron 3567,Notebook,15.6,1366x768,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 520,Windows 10,2.3,38306
Apple,MacBook Air,Ultrabook,13.3,1440x900,0,0,0,Intel,i5,7200U,1.6,8,0.0,0.0,0.0,0.0,Intel,HD Graphics 6000,Mac OS X (Old),1.35,100558
Dell,Inspiron 5570,Notebook,15.6,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,AMD,Radeon 530,Windows 10,2.2,73200
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,0,0,0,Intel,i7,8650U,1.9,8,512.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.88,118767
HP,ProBook 470,Notebook,17.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,0.0,0.0,1000.0,0.0,Nvidia,GeForce 930MX,Windows 10,2.5,81984
Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,0,0,0,Intel,Atom_x5,Z8300,1.44,4,0.0,0.0,0.0,0.0,Intel,HD Graphics,Windows 10,1.89,22417
Asus,E402WA GA010T,Notebook,14.0,1366x768,0,0,0,AMD,E,6110U,1.5,2,0.0,0.0,0.0,0.0,AMD,Radeon R2,Windows 10,1.65,18208
HP,17 ak001nv,Notebook,17.3,1920x1080,0,0,0,AMD,A6,9220U,2.5,4,0.0,0.0,500.0,0.0,AMD,Radeon 530,Windows 10,2.71,40168
Dell,XPS 13,Ultrabook,13.3,3200x1800,0,0,0,Intel,i7,8550U,1.8,16,512.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.2,171014
Apple,MacBook Air,Ultrabook,13.3,1440x900,0,0,0,Intel,i5,7200U,1.6,8,0.0,0.0,0.0,0.0,Intel,HD Graphics 6000,Mac OS X (Old),1.35,91317
Lenovo,IdeaPad 120S 14IAP,Notebook,14.0,1366x768,0,0,0,Intel,Celeron Dual Core,N3350,1.1,4,0.0,0.0,0.0,0.0,Intel,HD Graphics 500,Windows 10,1.44,22784
Acer,Aspire 3,Notebook,15.6,1366x768,0,0,0,Intel,i3,7130U,2.7,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Linux,2.1,33580
Dell,Inspiron 5770,Notebook,17.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,128.0,0.0,1000.0,0.0,AMD,Radeon 530,Windows 10,2.8,89578
HP,250 G6,Notebook,15.6,1366x768,0,0,0,Intel,i5,7200U,2.5,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Windows 10,1.86,44715
HP,ProBook 450,Notebook,15.6,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Nvidia,GeForce 930MX,Windows 10,2.1,80428
Asus,X540UA DM186,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Linux,2.0,35594
Dell,Inspiron 7577,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,256.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1060,Windows 10,2.65,137158
Asus,X542UQ GO005,Notebook,15.6,1366x768,0,0,0,Intel,i5,7200U,2.5,8,0.0,0.0,1000.0,0.0,Nvidia,GeForce 940MX,Linux,2.3,47854
Acer,Aspire A515 51G,Notebook,15.6,1920x1080,0,0,0,Intel,i5,8250U,1.6,4,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,2.2,62403
Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,12,0.0,0.0,1000.0,0.0,Nvidia,GeForce 150MX,Windows 10,2.77,91408
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,0,0,0,Intel,i5,7200U,2.0,8,256.0,0.0,0.0,0.0,Intel,Iris Graphics 540,Mac OS (New),1.37,129838
Lenovo,IdeaPad 320 15ISK,Notebook,15.6,1366x768,0,0,0,Intel,i3,6006U,2.0,4,128.0,0.0,0.0,0.0,Intel,HD Graphics 520,Windows 10,2.2,33764
Asus,Rog Strix,Gaming,17.3,1920x1080,0,0,0,AMD,Ryzen,1700H,3.0,8,256.0,0.0,1000.0,0.0,AMD,Radeon RX 580,Windows 10,3.2,118858
Dell,Inspiron 3567,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,4,256.0,0.0,0.0,0.0,AMD,Radeon R5 M430,Windows 10,2.3,58468
Asus,X751NV TY001T,Notebook,17.3,1366x768,0,0,0,Intel,Pentium Quad Core,N4200,1.1,4,0.0,0.0,1000.0,0.0,Nvidia,GeForce 920MX,Windows 10,2.8,42639
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,0,0,0,Intel,Atom_x5,Z8550,1.44,4,0.0,0.0,0.0,0.0,Intel,HD Graphics 400,Android,0.69,29188
Acer,Aspire A515 51G,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Nvidia,GeForce MX150,Windows 10,2.2,76952
HP,255 G6,Notebook,15.6,1920x1080,0,0,0,AMD,A6,9220U,2.5,4,256.0,0.0,0.0,0.0,AMD,Radeon R4 Graphics,Windows 10,1.86,36462
HP,ProBook 430,Notebook,13.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,512.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.49,100924
Acer,Aspire 3,Notebook,15.6,1366x768,0,0,0,Intel,i3,7100U,2.4,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Windows 10,2.4,35136
Dell,Inspiron 3576,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,AMD,Radeon 520,Windows 10,2.13,70254
HP,15 bs002nv,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,128.0,0.0,0.0,0.0,Intel,HD Graphics 520,Windows 10,1.91,40168
Asus,VivoBook Max,Notebook,15.6,1366x768,0,0,0,Intel,i5,7200U,2.5,4,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,2.0,53636
MSI,GS73VR 7RG,Gaming,17.3,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,256.0,0.0,2000.0,0.0,Nvidia,GeForce GTX 1070,Windows 10,2.43,224084
Asus,X541UA DM1897,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,256.0,0.0,0.0,0.0,Intel,HD Graphics 520,Linux,2.0,37972
Dell,Inspiron 5770,Notebook,17.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,16,256.0,0.0,2000.0,0.0,AMD,Radeon 530,Windows 10,2.8,118858
Dell,Vostro 5471,Ultrabook,14.0,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.7,80428
Lenovo,IdeaPad 520S 14IKB,Notebook,14.0,1920x1080,0,0,0,Intel,i3,7130U,2.7,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.7,54808
Asus,UX410UA GV350T,Notebook,14.0,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.4,86102
HP,250 G6,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.86,63135
Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,512.0,0.0,0.0,0.0,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,181444
HP,250 G6,Notebook,15.6,1366x768,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,500.0,0.0,AMD,Radeon 520,Windows 10,1.86,40140
HP,Stream 14 AX040wm,Notebook,14.0,1366x768,0,0,0,Intel,Celeron Dual Core,N3060,1.6,4,32.0,0.0,0.0,0.0,Intel,HD Graphics 400,Windows 10,1.44,20954
Lenovo,V310 15ISK,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Windows 10,1.9,50234
Asus,FX753VE GC093,Gaming,17.3,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,12,0.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050 Ti,Linux,3.0,86834
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,0,0,0,Intel,i5,7200U,2.5,4,128.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10 S,1.252,99644
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,AMD,Radeon 530,Windows 10,1.4,87382
Dell,Inspiron 5570,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,AMD,Radeon 530,Windows 10,2.2,79605
MSI,GL72M 7RDX,Gaming,17.3,1920x1080,0,0,0,Intel,i5,7300HQ,2.5,8,128.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050,Windows 10,2.7,100192
Acer,Aspire E5 475,Notebook,14.0,1366x768,0,0,0,Intel,i3,6006U,2.0,8,0.0,0.0,1000.0,0.0,Intel,HD Graphics 520,Windows 10,2.1,35594
Asus,FX503VD E4022T,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,8,0.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050,Windows 10,2.2,86834
Lenovo,IdeaPad 320 15IKBN,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,8,0.0,0.0,2000.0,0.0,Intel,HD Graphics 620,Windows 10,2.2,47488
Dell,Inspiron 5570,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,128.0,0.0,1000.0,0.0,Intel,UHD Graphics 620,Windows 10,2.02,78232
Acer,Aspire A515 51G,Notebook,15.6,1920x1080,0,0,0,Intel,i3,7130U,2.7,4,0.0,0.0,1000.0,0.0,Nvidia,GeForce MX130,Windows 10,2.2,48495
HP,ProBook 470,Notebook,17.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,128.0,0.0,1000.0,0.0,Nvidia,GeForce 930MX,Windows 10,2.5,89396
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.88,100299
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,0,0,0,Intel,i5,7200U,1.3,8,512.0,0.0,0.0,0.0,Intel,HD Graphics 615,Mac OS (New),0.92,138165
HP,ProBook 440,Notebook,14.0,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.63,78690
Lenovo,IdeaPad 320 15AST,Notebook,15.6,1920x1080,0,0,0,AMD,A6,9220U,2.5,4,128.0,0.0,0.0,0.0,AMD,R4 Graphics,Windows 10,2.2,36508
Acer,Aspire 3,Notebook,15.6,1366x768,0,0,0,AMD,A9,9420U,3.0,4,0.0,0.0,1000.0,0.0,AMD,Radeon R5,Windows 10,2.1,36142
Dell,Inspiron 7577,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,128.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.65,123434
HP,Pavilion 15 CK000nv,Ultrabook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Nvidia,GeForce GTX 940MX,Windows 10,1.83,63958
HP,250 G6,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.96,54808
Asus,FX503VM E4007T,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,128.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1060,Windows 10,2.2,132584
Dell,XPS 13,Ultrabook,13.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.21,150884
Asus,FX550IK DM018T,Gaming,15.6,1920x1080,0,0,0,AMD,FX,9830P,3.0,8,0.0,0.0,1000.0,0.0,AMD,Radeon RX 560,Windows 10,2.45,63958
Acer,Aspire 5,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,0.0,0.0,1000.0,0.0,Nvidia,GeForce MX150,Windows 10,2.2,63044
HP,Probook 430,Notebook,13.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,16,512.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.49,109526
Dell,Inspiron 7577,Gaming,15.6,1920x1080,0,0,0,Intel,i5,7300HQ,2.5,8,256.0,0.0,0.0,0.0,Nvidia,GeForce GTX 1060,Windows 10,2.65,109342
Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.25,95984
Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.5,77500
Dell,Inspiron 3567,Notebook,15.6,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,0.0,0.0,1000.0,0.0,AMD,Radeon R5 M430,Linux,2.2,54891
Dell,Inspiron 3567,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,256.0,0.0,0.0,0.0,AMD,Radeon R5 M430,Linux,2.2,44378
Asus,X541UV DM1439T,Notebook,15.6,1920x1080,0,0,0,Intel,i3,7100U,2.4,6,256.0,0.0,0.0,0.0,Nvidia,GeForce 920M,Windows 10,2.0,52796
HP,Omen 15 ce007nv,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,12,128.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050,Windows 10,2.62,114284
HP,15 bs017nv,Notebook,15.6,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,256.0,0.0,0.0,0.0,AMD,Radeon 530,Windows 10,1.91,65788
HP,15 bw000nv,Notebook,15.6,1920x1080,0,0,0,AMD,E,9000U,1.5,4,0.0,0.0,500.0,0.0,AMD,Radeon R2,Windows 10,2.1,31934
Dell,Inspiron 3576,Notebook,15.6,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,0.0,0.0,1000.0,0.0,AMD,Radeon 520,Linux,2.2,59200
HP,Envy 13 ad009n,Ultrabook,13.3,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,256.0,0.0,0.0,0.0,Nvidia,GeForce MX150,Windows 10,1.38,102388
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,0,0,0,Intel,i5,7200U,2.5,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10 S,1.252,122610
HP,Pavilion 14 BK001nv,Notebook,14.0,1920x1080,0,0,0,Intel,i5,7200U,2.5,6,256.0,0.0,0.0,0.0,Nvidia,GeForce 940MX,Windows 10,1.58,60298
Lenovo,Ideapad 310 15ISK,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 520,Windows 10,1.85,37963
Asus,UX430UQ GV209R,Ultrabook,14.0,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,256.0,0.0,0.0,0.0,Nvidia,GeForce 940MX,Windows 10,1.3,109160
MSI,GP62M 7REX,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,256.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,118858
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,0,0,0,Intel,i7,7500U,2.7,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.58,135420
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,16,256.0,0.0,1000.0,0.0,Nvidia,GeForce MX150,Windows 10,1.5,115473
Dell,XPS 13,Ultrabook,13.3,3200x1800,0,0,0,Intel,i7,7560U,2.4,8,256.0,0.0,0.0,0.0,Intel,Iris Plus Graphics 640,Windows 10,1.23,126178
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,0,0,0,Intel,i5,7200U,2.5,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.37,128008
HP,Probook 440,Notebook,14.0,1366x768,0,0,0,Intel,i5,8250U,1.6,4,0.0,0.0,500.0,0.0,Intel,UHD Graphics 620,Windows 10,1.63,66063
Dell,XPS 13,Ultrabook,13.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.21,149054
HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.26,128008
HP,Probook 440,Notebook,14.0,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,512.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.63,99186
Dell,Inspiron 7570,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,1000.0,0.0,Nvidia,GeForce 940MX,Windows 10,2.16,103425
Asus,X705UV BX074T,Notebook,17.3,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,1000.0,0.0,Nvidia,GeForce 920MX,Windows 10,2.0,51606
Asus,VivoBook S15,Notebook,15.6,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Nvidia,GeForce 940MX,Windows 10,1.7,102297
Acer,Spin 3,Notebook,15.6,1920x1080,0,0,0,Intel,i3,7100U,2.4,6,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Windows 10,2.1,43828
MSI,GS63VR 7RG,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,16,256.0,0.0,2000.0,0.0,Nvidia,GeForce GTX 1070,Windows 10,1.8,205097
Lenovo,IdeaPad 320 15IKBN,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,8,256.0,0.0,0.0,0.0,Nvidia,GeForce 940MX,Windows 10,2.2,57554
HP,Probook 470,Notebook,17.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,16,512.0,0.0,0.0,0.0,Nvidia,GeForce 930MX,Windows 10,2.5,116296
Acer,Aspire 3,Notebook,15.6,1366x768,0,0,0,AMD,A9,9420U,3.0,4,256.0,0.0,0.0,0.0,AMD,Radeon R5,Windows 10,2.1,41266
HP,250 G6,Notebook,15.6,1366x768,0,0,0,Intel,Celeron Dual Core,N3060,1.6,4,0.0,0.0,500.0,0.0,Intel,HD Graphics 400,Windows 10,1.86,23698
HP,Probook 440,Notebook,14.0,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,0.0,0.0,1000.0,0.0,Intel,UHD Graphics 620,Windows 10,1.63,74298
Asus,E402WA GA007T,Notebook,14.0,1366x768,0,0,0,AMD,E,6110U,1.5,4,64.0,0.0,0.0,0.0,AMD,Radeon R2,Windows 10 S,1.65,25436
Dell,Inspiron 5770,Notebook,17.3,1920x1080,0,0,0,Intel,i7,8550U,1.8,16,256.0,0.0,2000.0,0.0,AMD,Radeon 530,Windows 10,2.8,127734
HP,ProBook 470,Notebook,17.3,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,2.5,84912
Dell,Inspiron 5567,Notebook,15.6,1366x768,0,0,0,Intel,i5,7200U,2.5,8,0.0,0.0,1000.0,0.0,AMD,Radeon R7 M445,Windows 10,2.36,58468
Dell,Inspiron 3567,Notebook,15.6,1920x1080,0,0,0,Intel,i3,6006U,2.0,4,0.0,0.0,1000.0,0.0,AMD,Radeon R5 M430,Windows 10,2.2,41084
Acer,Swift 3,Ultrabook,14.0,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.6,80886
Acer,Aspire A515 51G,Notebook,15.6,1920x1080,0,0,0,Intel,i3,7130U,2.7,4,256.0,0.0,0.0,0.0,Nvidia,GeForce MX130,Windows 10,2.2,52338
HP,15 BS078nr,Notebook,15.6,1366x768,0,0,0,Intel,i7,7500U,2.7,8,0.0,0.0,1000.0,0.0,Intel,HD Graphics 620,Windows 10,2.05,54717
HP,Probook 440,Notebook,14.0,1920x1080,0,0,0,Intel,i7,8550U,1.8,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.63,90402
Lenovo,V110 15IAP,Notebook,15.6,1366x768,0,0,0,Intel,Celeron Dual Core,N3350,1.1,4,0.0,0.0,1000.0,0.0,Intel,HD Graphics 500,Windows 10,1.9,23091
Asus,FX753VD GC086T,Gaming,17.3,1920x1080,0,0,0,Intel,i5,7300HQ,2.5,8,128.0,0.0,1000.0,0.0,Nvidia,GeForce GTX 1050,Windows 10,3.0,85827
Lenovo,IdeaPad 320 15IKBN,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,4,0.0,0.0,1000.0,0.0,Nvidia,GeForce 920MX,Windows 10,2.2,45658
HP,Envy 13 AD007nv,Notebook,13.3,1920x1080,0,0,0,Intel,i5,7200U,2.5,4,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.32,63958
Acer,Aspire 5,Notebook,17.3,1920x1080,0,0,0,Intel,i3,7130U,2.7,4,0.0,0.0,1000.0,0.0,Nvidia,GeForce MX130,Windows 10,3.0,59932
Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,AMD,Radeon RX 550,Windows 10,1.75,102116
Lenovo,Legion Y520 15IKBN,Gaming,15.6,1920x1080,0,0,0,Intel,i7,7700HQ,2.8,8,256.0,0.0,0.0,0.0,Nvidia,GeForce GTX 1050M,Windows 10,2.4,79514
